"","team_name","matches_played","matches_lost","loss_ratio","winner","result","start_date"
"122","India","3","1","0.333333333333333","New Zealand","lost","1981-02-21"
"123","India","3","1","0.333333333333333","England","lost","1982-06-10"
"124","India","1","0","0","drawn","lost","1982-09-17"
"125","India","6","3","0.5","Pakistan","lost","1982-12-10"
"126","India","5","2","0.4","West Indies","lost","1983-02-23"
"127","India","3","0","0","drawn","lost","1983-09-14"
"128","India","6","3","0.5","West Indies","lost","1983-10-21"
"129","India","2","0","0","drawn","lost","1984-10-17"
"130","India","3","1","0.333333333333333","Sri Lanka","lost","1985-08-30"
"131","India","3","0","0","drawn","lost","1985-12-13"
"132","India","3","0","0","drawn","lost","1986-09-18"
"133","India","5","1","0.2","Pakistan","lost","1987-02-03"
"134","India","4","3","0.75","West Indies","lost","1989-03-25"
"135","India","4","0","0","drawn","lost","1989-11-15"
"136","India","3","1","0.333333333333333","New Zealand","lost","1990-02-02"
"137","India","3","1","0.333333333333333","England","lost","1990-07-26"
"138","India","5","4","0.8","Australia","lost","1991-11-29"
"139","India","1","0","0","drawn","lost","1992-10-18"
"140","India","4","1","0.25","South Africa","lost","1992-11-13"
"141","India","1","0","0","drawn","lost","1994-03-19"
"142","India","3","1","0.333333333333333","England","lost","1996-06-06"
"143","India","3","2","0.666666666666667","South Africa","lost","1996-12-26"
"144","India","5","1","0.2","West Indies","lost","1997-03-06"
"145","India","2","0","0","drawn","lost","1997-08-02"
"146","India","3","0","0","drawn","lost","1997-11-19"
"147","India","1","1","1","Zimbabwe","lost","1998-10-07"
"148","India","2","1","0.5","New Zealand","lost","1998-12-26"
"149","India","2","1","0.5","Pakistan","lost","1999-02-16"
"150","India","3","3","1","Australia","lost","1999-12-10"
"151","India","2","2","1","South Africa","lost","2000-02-24"
"152","India","2","1","0.5","South Africa","lost","2001-11-03"
"153","India","2","2","1","New Zealand","lost","2002-12-12"
"154","India","2","0","0","drawn","lost","2003-10-08"
"155","India","3","1","0.333333333333333","Pakistan","lost","2006-01-13"
"156","India","4","4","1","England","lost","2011-07-21"
"157","India","4","4","1","Australia","lost","2011-12-26"
"158","India","2","1","0.5","South Africa","lost","2013-12-18"
"159","India","2","1","0.5","New Zealand","lost","2014-02-06"
"160","India","4","2","0.5","Australia","lost","2014-12-09"
"161","India","1","0","0","drawn","lost","2015-06-10"
