"","player_name","teamName","runs","balls_faced","4s","6s","strike_rate","innings_number","opposition","match_format","venue","date","city","batting_position"
"60","SR Tendulkar",NA,"194","348","21","0","55.74","1","Pakistan","Test","Multan","2004-03-28","",""
"61","SR Tendulkar",NA,"193","330","19","3","58.48","1","England","Test","Leeds","2002-08-22","",""
"62","CA Pujara",NA,"193","373","22","0","51.74","1","Australia","Test","Sydney","2019-01-03","",""
"63","BK Kunderan",NA,"192","-","31","0","-","1","England","Test","Chennai","1964-01-10","",""
"64","M Azharuddin",NA,"192","259","26","0","74.13","2","New Zealand","Test","Auckland","1990-02-22","",""
"65","R Dravid",NA,"191","396","21","0","48.23","2","New Zealand","Test","Nagpur","2010-11-20","",""
"66","R Dravid",NA,"190","354","31","0","53.67","2","New Zealand","Test","Hamilton","1999-01-02","",""
"67","S Dhawan",NA,"190","168","31","0","113.09","1","Sri Lanka","Test","Galle","2017-07-26","",""
"68","VL Manjrekar",NA,"189","-","29","0","-","1","England","Test","Delhi","1961-12-13","",""
"69","AM Rahane",NA,"188","381","18","4","49.34","1","New Zealand","Test","Indore","2016-10-08","",""
"70","RJ Shastri",NA,"187","436","23","0","42.88","1","England","Test","The Oval","1990-08-23","",""
"71","S Dhawan",NA,"187","174","33","2","107.47","2","Australia","Test","Mohali","2013-03-14","",""
"72","SR Tendulkar",NA,"186","150","20","3","124.00","1","New Zealand","ODI","Hyderabad (Deccan)","1999-11-08","",""
"73","MH Mankad",NA,"184","-","19","1","-","3","England","Test","Lord's","1952-06-19","",""
"74","MS Dhoni",NA,"183","145","15","10","126.20","2","Sri Lanka","ODI","Jaipur","2005-10-31","",""
"75","SC Ganguly",NA,"183","158","17","7","115.82","1","Sri Lanka","ODI","Taunton","1999-05-26","",""
"76","V Kohli",NA,"183","148","22","1","123.64","2","Pakistan","ODI","Dhaka","2012-03-18","",""
"77","SM Gavaskar",NA,"182","-","-","0","-","3","West Indies","Test","Kolkata","1978-12-29","",""
"78","M Azharuddin",NA,"182","197","12","1","92.38","1","England","Test","Kolkata","1993-01-29","",""
"79","R Dravid",NA,"180","353","20","0","50.99","3","Australia","Test","Kolkata","2001-03-11","",""
"80","V Sehwag",NA,"180","190","20","2","94.73","1","West Indies","Test","Gros Islet","2006-06-10","",""
"81","GR Viswanath",NA,"179","-","14","0","-","1","West Indies","Test","Kanpur","1979-02-02","",""
"82","M Azharuddin",NA,"179","243","21","1","73.66","2","England","Test","Manchester","1990-08-09","",""
"83","SR Tendulkar",NA,"179","322","24","1","55.59","1","West Indies","Test","Nagpur","1994-12-01","",""
"84","G Gambhir",NA,"179","348","25","1","51.43","1","England","Test","Mohali","2008-12-19","",""
"85","VVS Laxman",NA,"178","298","30","0","59.73","1","Australia","Test","Sydney","2004-01-02","",""
"86","CG Borde",NA,"177","-","13","0","-","2","Pakistan","Test","Chennai","1961-01-13","",""
"87","VL Manjrekar",NA,"177","-","20","0","-","2","New Zealand","Test","Delhi","1955-12-16","",""
"88","SR Tendulkar",NA,"177","360","26","0","49.16","1","England","Test","Nottingham","1996-07-04","",""
"89","SR Tendulkar",NA,"177","207","29","3","85.50","1","Australia","Test","Bengaluru","1998-03-25","",""
"90","R Dravid",NA,"177","261","26","1","67.81","1","Sri Lanka","Test","Ahmedabad","2009-11-16","",""
"91","RG Sharma",NA,"177","301","23","1","58.80","2","West Indies","Test","Kolkata","2013-11-06","",""
"92","VVS Laxman",NA,"176","280","12","0","62.85","1","West Indies","Test","Kolkata","2011-11-14","",""
"93","SM Gavaskar",NA,"176","302","22","0","58.27","2","Sri Lanka","Test","Kanpur","1986-12-17","",""
"94","SR Tendulkar",NA,"176","316","23","0","55.69","2","Zimbabwe","Test","Nagpur","2002-02-21","",""
"95","SR Tendulkar",NA,"176","298","26","0","59.06","3","West Indies","Test","Kolkata","2002-10-30","",""
"96","N Kapil Dev",NA,"175","138","16","6","126.81","1","Zimbabwe","ODI","Tunbridge Wells","1983-06-18","",""
"97","SR Tendulkar",NA,"175","141","19","4","124.11","2","Australia","ODI","Hyderabad (Deccan)","2009-11-05","",""
"98","V Sehwag",NA,"175","140","14","5","125.00","1","Bangladesh","ODI","Dhaka","2011-02-19","",""
"99","SM Patil",NA,"174","240","22","1","72.50","2","Australia","Test","Adelaide","1981-01-23","",""
"100","P Roy",NA,"173","-","12","0","-","1","New Zealand","Test","Chennai","1956-01-06","",""
"101","SC Ganguly",NA,"173","361","25","2","47.92","1","Sri Lanka","Test","Mumbai","1997-12-03","",""
"102","V Sehwag",NA,"173","244","19","2","70.90","2","Pakistan","Test","Mohali","2005-03-08","",""
"103","V Sehwag",NA,"173","199","24","1","86.93","1","New Zealand","Test","Ahmedabad","2010-11-04","",""
"104","S Dhawan",NA,"173","195","23","0","88.71","1","Bangladesh","Test","Fatullah","2015-06-10","",""
"105","PR Umrigar",NA,"172","-","-","0","-","3","West Indies","Test","Port of Spain","1962-04-04","",""
"106","SM Gavaskar",NA,"172","472","19","0","36.44","2","England","Test","Bengaluru","1981-12-09","",""
"107","SM Gavaskar",NA,"172","400","19","0","43.00","1","Australia","Test","Sydney","1986-01-02","",""
"108","RG Sharma",NA,"171","163","13","7","104.90","1","Australia","ODI","Perth","2016-01-12","",""
"109","SR Tendulkar",NA,"169","254","26","0","66.53","2","South Africa","Test","Cape Town","1997-01-02","",""
"110","Yuvraj Singh",NA,"169","203","28","1","83.25","1","Pakistan","Test","Bengaluru","2007-12-08","",""
"111","V Kohli",NA,"169","272","18","0","62.13","2","Australia","Test","Melbourne","2014-12-26","",""
"112","VVS Laxman",NA,"167","198","27","0","84.34","3","Australia","Test","Sydney","2000-01-02","",""
"113","G Gambhir",NA,"167","257","16","2","64.98","3","New Zealand","Test","Wellington","2009-04-03","",""
"114","G Gambhir",NA,"167","215","15","0","77.67","1","Sri Lanka","Test","Kanpur","2009-11-24","",""
"115","M Vijay",NA,"167","361","23","2","46.26","2","Australia","Test","Hyderabad (Deccan)","2013-03-02","",""
